Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686550815760,2023-06-12 06:20:22,Tedua - Hoe (feat. Sfera Ebbasta) [Official Lyrics Video],Tedua,29075,739,1852820,8
1686550818570,2023-06-12 06:20:22,Geolier - IL MALE CHE MI FAI (Visual Video) ft. Marracash,Geolier,66057,890,12902634,9
1686550820147,2023-06-12 06:20:22,Fedez- Annalisa- Articolo 31 - DISCO PARADISE (Visual Video),Fedez- Annalisa- Articolo 31,32584,2659,3228046,10
1686550821459,2023-06-12 06:20:22,Mr.Rain - SUPEREROI (Official Video) [Sanremo 2023],Mr.Rain,262629,7749,37982327,11
1686550818148,2023-06-12 06:20:22,Rocco Hunt - Non litighiamo più (Official Video),Rocco Hunt,42236,622,9148369,12
1686550826161,2023-06-12 06:20:22,Baby Gang - Cella 4 [Official Video],Baby Gang,150412,3389,6055539,13
1686550821157,2023-06-12 06:20:22,AriBeatz- Ozuna- Sfera Ebbasta- GIMS - MIRAGE (Official Animation Video),AriBeatz- Ozuna- Sfera Ebbasta- GIMS,75641,1603,7898652,14
1686550819440,2023-06-12 06:20:22,Rocco Hunt- Elettra Lamborghini- Lola Indigo - Caramello (Official Video),Rocco Hunt- Elettra Lamborghini- Lola Indigo,244841,20117,81580651,15
1686550821604,2023-06-12 06:20:22,Rhove - Pelé,Rhove,84238,1752,8422139,16
1686550822803,2023-06-12 06:20:22,Tedua - Paradiso Artificiale (feat. Baby Gang- Kid Yugi) [Official Lyrics Video],Tedua,20560,653,1121652,17
1686550824083,2023-06-12 06:20:22,Finesse - Gelosa ft. Shiva- Sfera Ebbasta- Guè (Official Video),Finesse,63856,997,11937419,18
1686550817155,2023-06-12 06:20:22,Geolier - X CASO ft. Sfera Ebbasta (Visual Video),Geolier,93916,1155,23763938,19
1686550819680,2023-06-12 06:20:22,Marco Mengoni- Elodie - Pazza Musica (Official Video),Marco Mengoni- Elodie,37478,11240,2646150,20
1686550826684,2023-06-12 06:20:22,Geolier - CHIAGNE ft. Lazza- Takagi & Ketra (Visual Video),Geolier,101090,1570,23441039,21
1686550824575,2023-06-12 06:20:22,Tedua - Malamente [Official Lyrics Video],Tedua,15800,260,892407,22
1686550820660,2023-06-12 06:20:22,Tedua - Mancanze Affettive (feat. Geolier) [Official Lyrics Video],Tedua,15281,218,847707,23
1686550826189,2023-06-12 06:20:22,Annalisa - Bellissima (Official Video),Annalisa,177822,11353,38757821,24
1686550823089,2023-06-12 06:20:22,Tananai - TANGO,Tananai,175589,5798,20142389,25
1686550818754,2023-06-12 06:20:22,Achille Lauro- Rose Villain - Fragole (Official Video),Achille Lauro- Rose Villain,15296,601,1818510,26
1686550823348,2023-06-12 06:20:22,Madame - IL BENE NEL MALE (Sanremo 2023),Madame,111647,4564,23738405,27
1686550818471,2023-06-12 06:20:22,Boomdabash- Annalisa - Tropicana,Boomdabash- Annalisa,214498,7853,60035661,28
1686550822158,2023-06-12 06:20:22,Ciccio Merolla - Malatìa (Napoli Version),Ciccio Merolla,29136,19,4357827,29
1686550821616,2023-06-12 06:20:22,Tedua - Red Light [Official Lyrics Video],Tedua,11383,210,657544,30
